No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
124,A001-204,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1518628.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
125,A001-205,General,Interest on REAL Loans,199342.00,403214.00,369987.00,467991.00,572798.00,623400.00,653017.00,710287.00,716634.00,545014.00,538243.00,463527.00,369619.00,403308.00,311937.00,278700.00,213179.00,168147.00,145664.00,96913.00,37449.00,85293.00,38165.00,31917.00,21483.00,23014.00,-14834.00,7325.00,21717.00,3362.00,5.00,1187.00,6187.00, $-   , $-   ,2.00, $-   , $-   , $-   , $-   
126,A001-206,General,Interest on Property Sale Proceeds,31484.00,62212.00,40188.00,38942.00,113210.00,109458.00,271519.00,84416.00,30629.00,20391.00,66844.00,9775.00,10902.00,8309.00,59424.00,6031.00,75354.00,2192.00,1760.00,2567.00,67313.00,24317.00,57258.00,61918.00,62245.00,49208.00,48125.00,50572.00,48339.00,43799.00,146761.00,76614.00,74520.00,48534.00,79428.00,91494.00,117624.00,88787.00,610504.00,62978.00
127,A001-207,General,Interest on Gambling/Drug Confiscated Cash,29437.00,46601.00,78396.00,130213.00,183247.00,100706.00,119476.00,125831.00,176482.00,53060.00,145636.00,251020.00,248516.00,154201.00,250659.00,253853.00,253751.00,253687.00,253534.00,248202.00,187803.00,223093.00,208410.00,291181.00,193500.00,159235.00,32500.00,61377.00,65671.00,276891.00,183773.00,95404.00,9028.00,8332.00,2637.00,13843.00,21421.00,9474.00,66684.00,39991.00
128,A001-208,General,Interest on Commercial Rehab Loans,44307.00,87606.00,124376.00,233115.00,326187.00,462908.00,522826.00,708966.00,727809.00,575516.00,521053.00,487821.00,388207.00,360357.00,323604.00,355181.00,169496.00,135927.00,102787.00,50749.00,31678.00,97580.00,33091.00,32865.00,25123.00,11276.00,1040.00,16650.00,252.00,1939.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
129,A001-209,General,Expressway Air Space Leases, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,28185.00,268971.00,680092.00,14928.00,19903.00,24923.00,25315.00,22879.00,10672.00,8110.00,5176.00,13269.00,7181.00,7562.00,9401.00,9568.00,12028.00,9419.00,28547.00,18781.00,9395.00,4590.00,10147.00,29703.00,10603.00,11889.00,11218.00,13641.00,15606.00
130,A001-210,General,Rental from Inner Harbor Shoreline,74054.00,87751.00,101706.00,124987.00,194217.00,212273.00,258129.00,280239.00,538507.00,616148.00,597607.00,648969.00,612205.00,409112.00,406921.00,363722.00,343728.00,389554.00,453094.00,553955.00,528470.00,491695.00,487003.00,501321.00,454583.00,443891.00,442832.00,254001.00,289527.00,632034.00,606261.00,521566.00,569435.00,633834.00,743558.00,811443.00,795573.00,795756.00,861952.00,790703.00
131,A001-211,General,"Rental from C. L. Benton, Jr. Office Building", $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1016824.00,342351.00,2553916.00, $-   ,114964.00,419936.00,476452.00,584448.00,644532.00,854767.00,875523.00,959443.00,1043358.00,1043359.00,1390700.00,1699744.00,1973248.00,1990244.00,2007240.00,1893344.00,1600016.00,2007896.00,1559710.00,1613784.00,1761012.00,1311961.00,1842922.00,2055214.00,987295.00,1474077.00,1562527.00,1494028.00, $-   
132,A001-212,General,Principal on REAL Home Rehab,278274.00,349318.00,548050.00,513381.00,510902.00,606287.00,732537.00,716805.00,1056865.00,1110839.00,901749.00,901738.00,623942.00,588954.00,519554.00,601073.00,571916.00,482536.00,396844.00,314377.00,280182.00,365631.00,188528.00,144317.00,73358.00,119211.00,37889.00,42650.00,100082.00,13114.00,659.00,3336.00,21572.00, $-   , $-   ,181.00, $-   , $-   , $-   , $-   
133,A001-213,General,Principal on Commercial Rehab,28974.00,37483.00,69346.00,151965.00,136646.00,294658.00,216431.00,652665.00,579286.00,1273848.00,472380.00,549376.00,282400.00,326396.00,321487.00,725664.00,561264.00,327515.00,363807.00,233559.00,245377.00,288687.00,118952.00,159709.00,90350.00,69822.00,14739.00,86625.00,5027.00,24192.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
134,A001-214,General,SW Resource Recovery Facility - Lease, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,150000.00,150000.00,162000.00,174960.00,188957.00,204073.00,220399.00,238031.00,257074.00,277640.00,299851.00,323839.00,349746.00,377726.00,407944.00,445579.00,475825.00,513891.00,555003.00,599403.00,647355.00,699144.00,755075.00,817186.00,880720.00,951177.00,1027271.00,1109453.00,1198209.00,1294066.00,1610829.00,1509398.00,1630150.00
135,A001-215,General,Interest - Baltimore Home Finance,52156.00,17954.00,126390.00,207286.00,263142.00,262131.00,267470.00,237474.00,251709.00,200961.00,215061.00,173364.00,151032.00,140445.00,133247.00,122292.00,90596.00,86241.00,73147.00,33785.00,46436.00,40363.00,25199.00,31631.00,18816.00,18050.00,3781.00,9040.00,4934.00,3916.00,3266.00,115.00,114.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
136,A001-216,General,Principal - Baltimore Home Finance, $-   ,14956.00,68442.00,87240.00,125049.00,178912.00,150480.00,109185.00,254499.00,165446.00,353373.00,213114.00,173050.00,191707.00,183185.00,139877.00,175024.00,201525.00,187204.00,122273.00,220630.00,110979.00,58946.00,110323.00,80165.00,52615.00,57721.00,58025.00,42287.00,24440.00,8731.00,15214.00,508.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
137,A001-217,General,Principal - Private Activity Bond Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,499253.00,175076.00,211379.00,377235.00,336433.00,434726.00,199193.00,108911.00,116267.00,62332.00,36986.00,166736.00,10343.00,119805.00,3752.00,4242.00,4995.00,4040.00,4800.00,4541.00,5180.00,4985.00,2583.00,2231.00,7498.00,8093.00,6349.00,6608.00,19448.00
138,A001-218,General,Interest - Private Activity Bond Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,180738.00,138889.00,96333.00,117906.00,63850.00,34739.00,20455.00,20051.00,14143.00,5884.00,12615.00,13821.00,5309.00,6975.00,3443.00,3636.00,4389.00,3051.00,3078.00,2731.00,2698.00,2287.00,1053.00,799.00,2926.00,2377.00,1317.00,2526.00,362.00
139,A001-219,General,MTA Bus Shelter Agreement, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,46674.00,103190.00,200554.00,169083.00,242077.00,232829.00,76932.00,446486.00,196872.00,64719.00, $-   , $-   , $-   , $-   
140,A001-220,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,62629.00,21709.00,20851.00,9477.00,4542.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
141,A001-221,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2640000.00,200000.00, $-   , $-   , $-   ,1000000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
142,A001-222,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1885533.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
143,A001-223,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,105507.00,124000.00,160000.00,203000.00,150000.00,140278.00,207493.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
144,A001-224,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,44412.00,66013.00,61743.00,57256.00,41082.00,29756.00,21554.00,6576.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
145,A001-225,General,Rental from Recreation and Parks, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,10050.00,9903.00,8651.00,16355.00,13366.00,11967.00,8299.00,5821.00,4886.00,2825.00,1206.00,3600.00,4800.00,7100.00,19630.00,9878.00,4461.00,3100.00,15350.00,7547.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
146,A001-226,General,Rental from Harborplace Pavilions, $-   , $-   , $-   ,92854.00,93105.00,93108.00,94956.00,94257.00,100862.00,87943.00,95859.00,104165.00,84006.00,92175.00,92319.00,93103.00,98164.00,93174.00,93350.00,88373.00,93581.00,108326.00,89903.00,106195.00,94906.00,94545.00,91531.00,84973.00,95476.00,107749.00,101703.00,99656.00,98459.00,97426.00,111843.00,169933.00,284375.00,43750.00, $-   , $-   
147,A001-227,General,Principal - CDFC Loan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,500000.00, $-   ,707469.00,220331.00,233991.00,498498.00,675194.00,691554.00,775649.00,727383.00,746980.00,767791.00,539893.00,813364.00,838292.00,507048.00,370260.00,246367.00,119259.00, $-   ,116271.00
148,A001-228,General,Interest - CDFC Loan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,127083.00,305000.00,422170.00,619786.00,619786.00,610255.00,641028.00,723791.00,682759.00,909144.00,625574.00,588617.00,543590.00,430064.00,449282.00,400637.00,351051.00,549627.00,247107.00,193131.00,37280.00,59348.00,48241.00,40850.00,155108.00,33737.00
149,A001-229,General,, $-   , $-   , $-   ,-104.00,27713.00,41415.00,52999.00,46513.00,75183.00,55205.00,54069.00,48701.00,33698.00,24592.00,21477.00,39528.00,77854.00,-1597.00,58182.00,54409.00,39713.00,45345.00,34068.00,372538.00,194887.00,209019.00,208319.00,204812.00,201173.00,36338.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
150,A001-230,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,94804.00,142216.00,125546.00,101961.00,81366.00,44140.00,33482.00,76514.00,28024.00,37305.00,3075.00,14086.00,14906.00,12095.00,14925.00,14405.00,59318.00,44250.00,47179.00,51064.00,54471.00,58100.00,368868.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
151,A001-231,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,61008.00, $-   ,30504.00,30504.00,30504.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
152,A001-232,General,Principal - SELP Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6525.00,198621.00,431698.00,545432.00,858001.00,1529289.00,1767850.00,1491594.00,1312151.00,1096313.00,974927.00,831962.00,724006.00,396643.00,409197.00,129773.00,113207.00,25802.00,29116.00, $-   ,5000.00, $-   , $-   ,2018.00, $-   
153,A001-233,General,Interest - SELP Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1544.00,130371.00,299931.00,320587.00,401192.00,535077.00,491740.00,285956.00,191727.00,98955.00,21373.00,-23985.00,-10735.00,75232.00,-13335.00,11307.00,6295.00,7046.00,-7746.00, $-   , $-   , $-   , $-   ,505.00, $-   
154,A001-234,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1052000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
155,A001-235,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,22620.00,103542.00,44981.00,62779.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
156,A001-236,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,7528.00,47948.00,40126.00,77886.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,545391.00
157,A001-237,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,137996.00,140433.00,126141.00,135316.00,134047.00,-3352.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
158,A001-238,General,Interest - 4th Industrial Commercial Loan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,37425.00,129570.00,173642.00,150949.00,161982.00,149047.00,141434.00,97591.00,36572.00,21532.00,13568.00,11566.00,5285.00,4240.00,2718.00,3691.00,2794.00,1059.00,380.00, $-   , $-   , $-   
159,A001-239,General,Principal - 4th Industrial Commercial Loan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,10697.00,23795.00,58359.00,315877.00,180546.00,126063.00,133924.00,1523000.00,66691.00,57711.00,49404.00,49381.00,116875.00,39296.00,13557.00,16086.00,12933.00,16694.00,17374.00, $-   , $-   , $-   
160,A001-240,General,Harbor Shoreline - Docking Fees, $-   , $-   , $-   , $-   , $-   , $-   ,38176.00,57386.00,69982.00,98438.00,101027.00,92493.00,106382.00,118391.00,110542.00,102002.00,93203.00,84619.00,67149.00,61814.00,61697.00,76913.00,60037.00,53131.00,61031.00,56510.00,62783.00,59514.00,72659.00,74111.00,110829.00,104632.00,87285.00,108405.00,90355.00,79063.00,101661.00,82858.00, $-   ,-106237.00
161,A001-241,General,Rental from Community Centers, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,100402.00,128461.00,233796.00,342544.00,416863.00,571874.00,502467.00,532780.00,360064.00,361789.00,443408.00,350898.00,216590.00,310611.00,314007.00,293387.00,374356.00,353026.00,442285.00,348138.00,252280.00,211226.00,211333.00,182545.00,182402.00,210340.00,257257.00,259430.00,271445.00,2058.00,154378.00,148690.00,146316.00
162,A001-242,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1000000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
163,A001-243,General,Rentals from Wharfage - Piers and Docks,148710.00,144289.00,96577.00,94322.00,91567.00,193502.00,141061.00,84238.00,80120.00,71445.00,65874.00,66639.00,69075.00,59044.00,54461.00,56445.00,64106.00,56692.00,63978.00,61363.00,61134.00,61331.00,62279.00,61020.00,68237.00,46517.00,66112.00,68877.00,76687.00,76604.00,84568.00,91011.00,40165.00,11527.00,15442.00,18350.00,12049.00,12143.00,25872.00,11031.00
164,A001-244,General,,341288.00,416336.00,439997.00,479432.00,551747.00,611167.00,560427.00,530314.00,581035.00,618297.00,684693.00,747270.00,798455.00,879715.00,972746.00,1045232.00,1035893.00,811375.00,27031.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
165,A001-245,General,Recycle Bin Advertising, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,8441.00,4714.00,3188.00,2196.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
166,A001-246,General,Royal Farm Arena Naming Rights,856306.00,793479.00,84908.00, $-   ,1274167.00,1884466.00,2207281.00,2717632.00,2477960.00,2481957.00,2180655.00,968524.00,-314.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,75000.00, $-   ,150000.00,75000.00,75000.00,75000.00, $-   ,150000.00,75000.00,75000.00, $-   , $-   ,51760.00,187500.00,200037.00
167,A001-247,General,Convention Center, $-   , $-   , $-   , $-   ,918985.00,1053524.00,1083705.00,1601879.00,2080937.00,2217858.00,3058264.00,3225193.00,3303249.00,3359882.00,3699556.00,3718276.00,4014870.00,3067067.00,3239535.00,5250275.00,6842979.00,7374074.00,8338916.00,9941017.00,10200732.00,9590747.00,9317112.00,11199876.00,10625477.00,10317817.00,11522941.00,10153368.00,9134175.00,9571203.00,9199793.00,9468520.00,9040139.00,8014825.00,10717145.00,9481508.00
168,A001-248,General,,363907.00,367040.00,1264666.00,1108321.00,1236632.00,337047.00,1098678.00,1186385.00,106381.00,103288.00,62168.00,196302.00,5206854.00,1828565.00,4240797.00,6637.00, $-   ,10500.00,5000.00,73000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
169,A001-249,General,,1282621.00,1286491.00,880237.00,1650834.00,1417587.00,1629068.00,1860301.00,1584637.00,1811253.00,1694316.00,1728730.00,1629080.00,1774705.00,1411646.00,1982029.00,2442603.00,1641185.00,1708527.00,1669555.00,1528508.00,1527772.00,1663047.00,1569174.00,2127517.00, $-   , $-   ,-1.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
170,A001-250,General,Principal - MILA/MICRF, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,210000.00,215000.00, $-   , $-   , $-   ,371968.00,1892733.00,656343.00,783691.00,703982.00,835556.00,914843.00,1263905.00,1064926.00,1886356.00,603639.00,992400.00,259369.00,231322.00,207504.00,203350.00,198898.00,194395.00,189623.00,193655.00,179261.00,216291.00,193503.00,204999.00,203674.00,18499.00
171,A001-251,General,Interest - MILA/MICRF, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,10360.00,3225.00, $-   , $-   , $-   ,683519.00,695665.00,677147.00,989750.00,563292.00,584785.00,701958.00,498730.00,339692.00,188939.00,85479.00,80124.00,40206.00,37941.00,12584.00,4112.00,3713.00,3290.00,2874.00,2456.00,2040.00,1611.00,1184.00,754.00,321.00, $-   
172,A001-252,General,Principal - Off-Street Parking Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,708812.00,684719.00,948810.00,678495.00,621469.00,635823.00,630948.00,848686.00,644507.00,596834.00,610048.00,631917.00,569679.00,678315.00,477971.00,584195.00,442191.00,440897.00,448434.00,457170.00,428768.00,449066.00,199525.00,677879.00,411653.00,372222.00,65833.00, $-   , $-   ,35000.00,2018164.00
173,A001-253,General,Interest - Off-Street Parking Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1088972.00,839175.00,1496900.00,807318.00,798728.00,831424.00,677030.00,757164.00,574963.00,586710.00,519869.00,509945.00,571569.00,446933.00,419605.00,399973.00,331640.00,311684.00,269021.00,263097.00,215350.00,183991.00,69425.00,162994.00,93262.00,64705.00,47679.00, $-   , $-   ,83012.00,25909.00
174,A001-254,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2098000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
175,A001-255,General,Principal - Economic Development Loan Program, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,755.00,155654.00,295522.00,337623.00,64544.00,265086.00,2141387.00,405034.00,475315.00,511016.00,1625067.00,556551.00,1499111.00,498709.00,519297.00,622071.00,329461.00,298792.00,347614.00,301341.00
176,A001-256,General,Interest - Economic Development Loan Program, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,167.00,50238.00,260010.00,54108.00,121903.00,168617.00,242634.00,184311.00,183784.00,180011.00,195245.00,130607.00,165856.00,112052.00,115508.00,109662.00,82263.00,74291.00,80595.00,71060.00
177,A001-257,General,, $-   , $-   ,1101868.00,1236106.00, $-   ,3699138.00,3796151.00,4609985.00,3842000.00,4403000.00,3224000.00,3492000.00,3000000.00,1100000.00, $-   , $-   ,1900000.00, $-   , $-   , $-   , $-   , $-   ,13644.00,59796.00,56399.00,57546.00,63825.00,54969.00,61150.00,62402.00,161644.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
178,A001-258,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,39000.00, $-   ,35750.00,289209.00, $-   , $-   , $-   , $-   ,2949.00,12103.00,9969.00,8824.00,8243.00,5868.00,5217.00,3965.00,2172.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
179,A001-259,General,Interest - Community Development Fund Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,18300000.00, $-   ,5500000.00, $-   , $-   , $-   ,52650.00,57043.00,126282.00,21938.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,152.00,56755.00,8400.00,8238.00,7005.00,6384.00,11486.00,14573.00,6413.00,17540.00,5654.00,2253.00,6173.00,1496.00
180,A001-260,General,Principal - Community Development Fund Loans, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,90000.00,90000.00,90025.00, $-   ,90000.00,90000.00,90000.00,90060.00,90000.00,90000.00, $-   ,90000.00, $-   , $-   , $-   , $-   ,325.00,29258.00,41399.00,137080.00,34976.00,61600.00,28007.00,29586.00,24721.00,33022.00,33248.00,20057.00,14514.00,12350.00
181,A001-261,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,138613.00,163613.00,138614.00,138613.00,207920.00,138612.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
182,A001-262,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,389027.00,501254.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,617382.00,308691.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
183,A001-263,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,55201.00,44162.00,44160.00,44160.00,55201.00,44160.00,22080.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
184,A001-264,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,89038.00,89038.00,89038.00, $-   , $-   ,440330.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
185,A001-265,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,379671.00,284753.00,474586.00,379668.00,348029.00,348032.00,442946.00,348029.00,195085.00,380000.00,380000.00,8250.00,389750.00,389000.00,390500.00,8250.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
186,A001-266,General,Advertising on City Property, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
187,A001-267,General,Rental - Federal Day Care Center, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,35833.00,207854.00,221384.00,222020.00,205228.00,213695.00,118760.00,96934.00,79351.00,74132.00,49609.00, $-   ,88777.00,76458.00,122633.00,31135.00,83520.00,203411.00,3120.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
188,A001-268,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,3300000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
189,A001-280,General,Civil Defense,76382.00,69396.00,90835.00,106275.00,84192.00,165485.00,200046.00,107555.00,81005.00, $-   , $-   ,104115.00,63987.00,83209.00,74883.00,84560.00,71759.00,61780.00,73970.00,75012.00,45396.00,37482.00,12623.00,67660.00,45113.00,77252.00,111108.00,149635.00,89781.00,92836.00,98946.00,224506.00,181214.00, $-   ,226398.00,220296.00,236035.00,220373.00,216755.00,480261.00
190,A001-302,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-275.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
191,A001-399,General,,3667147.00,3312967.00,3824001.00,3913768.00,4103473.00,4298507.00,4551388.00,5347871.00,5517846.00,5897264.00,6364638.00,6833498.00,7337426.00,6995809.00,3654105.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
