"Q1","Q2","Q3","Q4","Q5AF1","Q5BF1","Q5CF1","Q5DF1","Q5AF2","Q5BF2","Q5CF2","Q5DF2","Q6A","Q6B","RELIG","BORN","QNO","CASEID","SEX","HEADHH","EMPLOY","PARTY","PARTYLN","PARTYFUL","OCCUP","MARITAL","OWN","HHNUM","CHILD1","CHILD2","CHILD3","EDUC","AGE","HISP","RACE1","RACE2","RACE3","RACE4","INC1","INC2","INC3","WEIGHT","TIMEZONE","STATE","METRO","DIVISION","REGION","INTDATE"
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328004833,4833,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- craftsmen/Foremen ","Married ","Rent ","Five ","Yes ","No ","Yes ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.5994,"Central","ALABAMA","In Non-Metropolitan Area ","East South Central","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely disagree ","Completely disagree ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Christian or 'Just Christian' ","No ",328004851,4851,"Male ","Yes ","Self employed ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Four ","Yes ","No ","No ","Associates degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",0.6031,"Eastern","NORTH CAROLINA","In Non-Metropolitan Area ","South Atlantic","South ",81211
"Oppose ","Mostly disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","Yes ","Protestant ","Yes ",328004870,4870,"Male ","Yes ","Employed part time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Single and never been married ","Rent ","Five ","Yes ","No ","No ","High school complete (grade 12) ","35-39 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,1.2935,"Central","TENNESSEE","In Center City of Metropolitan Area ","East South Central","South ",81411
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Catholic ",NA,328004890,4890,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- sales, clerical ","Married ","Own ","Three ","No ","Yes ","No ","College graduate/Bachelors degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.1551,"Central","MISSISSIPPI","Inside Suburban County of Metropolitan Area ","East South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Mostly agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Buddhist ",NA,328004911,4911,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.5569,"Eastern","MAINE","In Non-Metropolitan Area ","New England","North East ",81211
"Strongly oppose ","Mostly agree ","Oppose ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Mostly disagree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328004951,4951,"Male ","Yes ","Employed full time ","Independent ","Don't know/Refused ","Independent ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Two ","No ","No ","No ","Associates degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.5513,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
"Favor ",NA,"Oppose ","Know what term means ","Mostly agree ","Mostly disagree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328004960,4960,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- semiskilled, unskilled ","Married ","Own ","Four ","No ","Yes ","No ","Associates degree ","30-34 ","Yes ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",4.1132,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81211
"Favor ",NA,"Oppose ","Never heard of term ","Completely agree ","Mostly agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328005020,5020,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","Blue collar -- craftsmen/Foremen ","Divorced ","Own ","Two ","No ","No ","No ","Associates degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.6209,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328005055,5055,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Married ","Own ","Four ","No ","Yes ","Yes ","Some college, but no degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.7849,"Eastern","MASSACHUSETTS","Inside Suburban County of Metropolitan Area ","New England","North East ",81311
"Oppose ","Completely disagree ","Oppose ","Know what term means ","Completely disagree ","Completely disagree ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328005067,5067,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Six ","No ","No ","Yes ","College graduate/Bachelors degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",0.7804,"Central","OKLAHOMA","Outside Center City, Inside Center City County ","West South Central","South ",81211
"Strongly oppose ","Completely disagree ","Don't know/Refused ","Heard of it, but not sure what it means ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,NA,NA,NA,"No ","No ","Refused ",NA,328005077,5077,"Male ","Refused/Nr ","Refused/Nr ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,1.2623,"Eastern","NORTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328005154,5154,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","White collar -- professional, managerial, owner ","Single and never been married ","Rent ","One ",NA,NA,NA,"College graduate/Bachelors degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.6674,"Eastern","NEW JERSEY","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81211
"Oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328005210,5210,"Male ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Three ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.2891,"Eastern","GEORGIA","In Non-Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Mostly agree ","Mostly agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328005214,5214,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Five ","Yes ","Yes ","No ","College graduate/Bachelors degree ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.8802,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Don't know/Refused ","Mostly disagree ","Mostly agree ","No ","No ","Protestant ","Yes ",328005240,5240,"Female ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- sales, clerical ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.518,"Central","MISSISSIPPI","In Non-Metropolitan Area ","East South Central","South ",81411
"Oppose ","Mostly disagree ","Favor ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328005303,5303,"Male ","Yes ","Not currently employed ","Independent ","Neither/Other ","Independent ",NA,"Single and never been married ","Rent ","One ",NA,NA,NA,"High school incomplete (grades 9, 10, 11) ","25-29 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,4.1132,"Eastern","TENNESSEE","In Center City of Metropolitan Area ","East South Central","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Christian or 'Just Christian' ","Yes ",328005340,5340,"Male ","Yes ","Self employed ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Single and never been married ","Own ","Two ","No ","No ","No ","Associates degree ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,1.2061,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Christian or 'Just Christian' ","No ",328005351,5351,"Male ","Yes ","Self employed ","Other party ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Single and never been married ","Rent ","Two ","No ","No ","No ","Some college, but no degree ","21-24 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.9435,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Mostly disagree ","Yes ","No ","Protestant ","No ",328005374,5374,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","White collar -- professional, managerial, owner ","Single and never been married ","Rent ","One ",NA,NA,NA,"Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.3465,"Eastern","VIRGINIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Don't know/Refused ","Heard of it, but not sure what it means ","Mostly disagree ","Mostly agree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328005402,5402,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.8479,"Central","KENTUCKY","In Non-Metropolitan Area ","East South Central","South ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Mostly agree ","No ","No ","Protestant ","Yes ",328005411,5411,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","Service worker ","Married ","Own ","Four ","No ","No ","Yes ","High school complete (grade 12) ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.2623,"Eastern","MARYLAND","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly disagree ","Completely agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328005413,5413,"Male ","Yes ","Employed full time ","Other party ","Democratic ","Independent-lean Democratic ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","Yes ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.5776,"Eastern","NORTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Oppose ","Mostly agree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely disagree ","Mostly agree ","No ","No ","Catholic ",NA,328005420,5420,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Own ","One ",NA,NA,NA,"Some college, but no degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.5815,"Eastern","NEW YORK","In Non-Metropolitan Area ","Middle Atlantic","North East ",81211
"Favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly disagree ","No ","No ","Refused ",NA,328005421,5421,"Male ","Yes ","Employed part time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- semiskilled, unskilled ","Single and never been married ","Rent ","Two ","No ","No ","No ","High school complete (grade 12) ","18-20 ","Yes ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,4.1132,"Eastern","NEW JERSEY","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81211
"Oppose ","Mostly agree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly disagree ","Mostly disagree ","Yes ","No ","Protestant ","No ",328005426,5426,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.6929,"Eastern","NORTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","No ","Protestant ","No ",328005440,5440,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","White collar -- sales, clerical ","Married ","Own ","Four ","No ","Yes ","No ","College graduate/Bachelors degree ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.4401,"Eastern","MICHIGAN","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Favor ",NA,"Don't know/Refused ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328005461,5461,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Rent ","Two ","No ","No ","No ","College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.5049,"Eastern","PENNSYLVANIA","Outside Center City, Inside Center City County ","Middle Atlantic","North East ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Completely agree ","No ","No ","Protestant ","No ",328005464,5464,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Own ","One ",NA,NA,NA,"College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.2891,"Central","LOUISIANA","In Center City of Metropolitan Area ","West South Central","South ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Protestant ","Yes ",328005478,5478,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Single and never been married ","Own ","Four ","No ","No ","No ","Some college, but no degree ","50-54 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.7214,"Eastern","NEW JERSEY","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81411
"Strongly favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Mostly disagree ","No ","No ","Nothing in particular ",NA,328005485,5485,"Male ","Yes ","Employed full time ","Independent ","Neither/Other ","Independent ","Service worker ","Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.6311,"Eastern","MARYLAND","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely disagree ","Mostly agree ","Yes ","No ","Protestant ","No ",328005565,5565,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Five ","No ","Yes ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.1126,"Eastern","PENNSYLVANIA","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81411
"Strongly oppose ","Completely disagree ","Favor ","Never heard of term ",NA,NA,NA,NA,"Completely agree ","Completely disagree ","Completely disagree ","Completely agree ","Yes ","Yes ","Protestant ","Yes ",328005594,5594,"Male ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Divorced ","Own ","Three ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,0.874,"Central","LOUISIANA","In Non-Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328005611,5611,"Male ","Yes ","Not currently employed ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Rent ","Two ","No ","No ","No ","Some college, but no degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.6969,"Eastern","MASSACHUSETTS","Inside Suburban County of Metropolitan Area ","New England","North East ",81211
"Favor ",NA,"Favor ","Never heard of term ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328005622,5622,"Male ","No ","Not currently employed ","Independent ","Neither/Other ","Independent ",NA,"Divorced ","Own ","Two ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","55-59 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,1.0745,"Eastern","NORTH CAROLINA","In Non-Metropolitan Area ","South Atlantic","South ",81411
"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,NA,NA,NA,"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Refused ",NA,328005647,5647,"Male ","Yes ","Employed full time ","Don't know/Refused ","Neither/Other ","Other party ","Refused/Nr ","Refused/Nr ","Own ","Three ","No ","No ","No ","College graduate/Bachelors degree ","30-34 ","No ","Refused/Nr ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",1.1616,"Central","ILLINOIS","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Oppose ","Mostly agree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Completely agree ","Yes ","No ","Catholic ",NA,328005678,5678,"Male ","Yes ","Not currently employed ","Republican ",NA,"Republican ",NA,"Married ","Own ","Five ","No ","Yes ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.1126,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","No ","No ","Nothing in particular ",NA,328005679,5679,"Male ","Yes ","Retired ","Don't know/Refused ","Democratic ","Independent-lean Democratic ",NA,"Living as married ","Rent ","Two ","No ","No ","No ","High school complete (grade 12) ","70-74 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.6236,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81211
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Completely agree ","Completely agree ","Mostly agree ","Yes ","Yes ","Christian or 'Just Christian' ","Yes ",328005687,5687,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.5781,"Central","TEXAS","Inside Suburban County of Metropolitan Area ","West South Central","South ",81211
"Strongly oppose ","Mostly agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely disagree ","Completely agree ","Yes ","No ","Protestant ","No ",328005688,5688,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Four ","Yes ","No ","Yes ","College graduate/Bachelors degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,1.1551,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81211
"Don't know/Refused ","Completely disagree ","Favor ","Heard of it, but not sure what it means ","Completely agree ","Mostly disagree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Christian or 'Just Christian' ","Yes ",328005689,5689,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Married ","Own ","Five ","Yes ","No ","No ","High school complete (grade 12) ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Refused [unspecified after less than $50,000] ",NA,0.8378,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81311
"Oppose ","Mostly agree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely disagree ","Yes ","Yes ","Protestant ","No ",328005710,5710,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- semiskilled, unskilled ","Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.854,"Central","WISCONSIN","In Non-Metropolitan Area ","East North Central","Midwest ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Don't know/Refused ","Mostly disagree ","Completely disagree ","Completely agree ","Yes ","No ","Christian or 'Just Christian' ","Yes ",328005743,5743,"Male ","Yes ","Employed full time ","Other party ","Neither/Other ","Other party ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Associates degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.2757,"Central","ILLINOIS","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81311
"Strongly oppose ","Mostly disagree ","Oppose ","Heard of it, but not sure what it means ","Completely disagree ","Mostly disagree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328005754,5754,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$35,000 but less than $40,000 ",NA,0.4676,"Central","TEXAS","Outside Center City, Inside Center City County ","West South Central","South ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Don't know/Refused ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328005823,5823,"Female ","Yes ","Self employed ","Independent ","Republican ","Independent-lean Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Three ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.4682,"Central","ILLINOIS","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81411
"Oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely disagree ","Completely agree ","Yes ","No ","Protestant ","No ",328005849,5849,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","Yes ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.5776,"Central","MISSISSIPPI","In Non-Metropolitan Area ","East South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Catholic ",NA,328005871,5871,"Female ","Yes ","Not currently employed ","Republican ",NA,"Republican ",NA,"Married ","Own ","Four ","No ","No ","No ","Refused/Nr ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.518,"Central","TENNESSEE","In Center City of Metropolitan Area ","East South Central","South ",81311
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","No ","Nothing in particular ",NA,328005950,5950,"Male ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Divorced ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,1.1208,"Central","OKLAHOMA","In Non-Metropolitan Area ","West South Central","South ",81211
"Don't know/Refused ","Don't know/Refused ","Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","No ","Catholic ",NA,328005974,5974,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Divorced ","Own ","One ",NA,NA,NA,"Some college, but no degree ","60-64 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.4442,"Central","LOUISIANA","Inside Suburban County of Metropolitan Area ","West South Central","South ",81311
